grade,band
A1,Junior
A2,Junior
A3,Junior
A4,Junior
B1,Mid
B2,Mid
B3,Mid
C1,Senior
C2,Senior
D1,Senior
E1,Senior
DT6,Mid
ISB,Mid
IS9,Mid
DP1,Junior
BC4,Junior
ISC,Mid
3PT,Junior
IS4,Junior
BC6,Junior
IS3,Junior
IS5,Junior
SPA,Senior
IS1,Junior
DM5,Senior
3PS,Junior
LN6,Mid
I6+,Mid
ISA,Mid
LN5,Mid
BC5,Junior
BC2,Junior
DM2,Senior
INT,Junior
BC3,Junior
IS2,Junior
DP4,Junior
I7+,Senior
DT1,Junior
DT2,Junior
I5+,Mid
MD,Senior
DM6,Senior
IS7,Mid
LN7,Mid
LN4,Junior
LN9,Mid
DM4,Senior
IS6,Mid
DP5,Junior
DT3,Junior
DM3,Senior
DT5,Mid
DT4,Junior
FTE,Junior
I8+,Senior
GAP,Junior
DM7,Senior
IS8,Mid
